,ASOS_Name,ASOS_Price (£),ASOS_URL_Link,HnM_Name,HnM_Price (£),HnM_Color,HnM_Category,HnM_URL_Link
0,Bershka Join Life 3-pack socks with stripes,7.99,https://www.asos.com/bershka/bershka-join-life-3-pack-socks-with-stripes/prd/12871408?clr=white&colourWayId=16420451&SearchQuery=&cid=27110,Socks,2.99,Black/PAC-MAN,men_socks,https://www2.hm.com/en_gb/productpage.0706270009.html
0,Bershka Join Life 3-pack socks with stripes,7.99,https://www.asos.com/bershka/bershka-join-life-3-pack-socks-with-stripes/prd/12871408?clr=white&colourWayId=16420451&SearchQuery=&cid=27110,Socks,2.99,Blue/Sesame Street,men_socks,https://www2.hm.com/en_gb/productpage.0706270010.html
0,Bershka Join Life 3-pack socks with stripes,7.99,https://www.asos.com/bershka/bershka-join-life-3-pack-socks-with-stripes/prd/12871408?clr=white&colourWayId=16420451&SearchQuery=&cid=27110,Socks,2.99,Blue/Super Mario,men_socks,https://www2.hm.com/en_gb/productpage.0706270013.html
0,Bershka Join Life 3-pack socks with stripes,7.99,https://www.asos.com/bershka/bershka-join-life-3-pack-socks-with-stripes/prd/12871408?clr=white&colourWayId=16420451&SearchQuery=&cid=27110,Socks,2.99,White/7 Up,men_socks,https://www2.hm.com/en_gb/productpage.0706270014.html
0,Burton Menswear linen shirt in khaki,28.0,https://www.asos.com/burton-menswear/burton-menswear-linen-shirt-in-khaki/prd/12851559?clr=green&colourWayId=16420219&SearchQuery=&cid=27110,Linen shirt,39.99,White,men_shirts_casual,https://www2.hm.com/en_gb/productpage.0539217001.html
0,Burton Menswear linen shirt in khaki,28.0,https://www.asos.com/burton-menswear/burton-menswear-linen-shirt-in-khaki/prd/12851559?clr=green&colourWayId=16420219&SearchQuery=&cid=27110,Linen shirt,39.99,Blue,men_shirts_casual,https://www2.hm.com/en_gb/productpage.0539217004.html
0,Burton Menswear linen shirt in khaki,28.0,https://www.asos.com/burton-menswear/burton-menswear-linen-shirt-in-khaki/prd/12851559?clr=green&colourWayId=16420219&SearchQuery=&cid=27110,Linen shirt,39.99,Dark green,men_shirts_casual,https://www2.hm.com/en_gb/productpage.0539217017.html
0,Burton Menswear linen shirt in khaki,28.0,https://www.asos.com/burton-menswear/burton-menswear-linen-shirt-in-khaki/prd/12851559?clr=green&colourWayId=16420219&SearchQuery=&cid=27110,Linen shirt,39.99,Black,men_shirts_casual,https://www2.hm.com/en_gb/productpage.0539217011.html
0,Burton Menswear linen shirt in khaki,28.0,https://www.asos.com/burton-menswear/burton-menswear-linen-shirt-in-khaki/prd/12851559?clr=green&colourWayId=16420219&SearchQuery=&cid=27110,Linen shirt,39.99,Dark blue,men_shirts_casual,https://www2.hm.com/en_gb/productpage.0539217003.html
0,Burton Menswear linen shirt in khaki,28.0,https://www.asos.com/burton-menswear/burton-menswear-linen-shirt-in-khaki/prd/12851559?clr=green&colourWayId=16420219&SearchQuery=&cid=27110,Linen shirt,39.99,Light blue,men_shirts_casual,https://www2.hm.com/en_gb/productpage.0539217016.html
0,Burton Menswear palm print t-shirt in green,15.0,https://www.asos.com/burton-menswear/burton-menswear-palm-print-t-shirt-in-green/prd/12851277?clr=green&colourWayId=16420273&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Burton Menswear palm print t-shirt in green,15.0,https://www.asos.com/burton-menswear/burton-menswear-palm-print-t-shirt-in-green/prd/12851277?clr=green&colourWayId=16420273&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Burton Menswear hibiscus embroidered t-shirt in pink,10.0,https://www.asos.com/burton-menswear/burton-menswear-hibiscus-embroidered-t-shirt-in-pink/prd/12850911?clr=pink&colourWayId=16420265&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Burton Menswear hibiscus embroidered t-shirt in pink,10.0,https://www.asos.com/burton-menswear/burton-menswear-hibiscus-embroidered-t-shirt-in-pink/prd/12850911?clr=pink&colourWayId=16420265&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Burton Menswear crab embroidered t-shirt in yellow,10.0,https://www.asos.com/burton-menswear/burton-menswear-crab-embroidered-t-shirt-in-yellow/prd/12850896?clr=yellow&colourWayId=16420225&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Burton Menswear crab embroidered t-shirt in yellow,10.0,https://www.asos.com/burton-menswear/burton-menswear-crab-embroidered-t-shirt-in-yellow/prd/12850896?clr=yellow&colourWayId=16420225&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Weekday Frank sea senor print T-shirt,12.0,https://www.asos.com/weekday/weekday-frank-sea-senor-print-t-shirt/prd/12847555?clr=white&colourWayId=16419016&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Weekday Frank sea senor print T-shirt,12.0,https://www.asos.com/weekday/weekday-frank-sea-senor-print-t-shirt/prd/12847555?clr=white&colourWayId=16419016&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Weekday Great t-shirt in white,20.0,https://www.asos.com/weekday/weekday-great-t-shirt-in-white/prd/12847449?clr=white&colourWayId=16419021&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Weekday Great t-shirt in white,20.0,https://www.asos.com/weekday/weekday-great-t-shirt-in-white/prd/12847449?clr=white&colourWayId=16419021&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Weekday San Juan T-shirt,12.0,https://www.asos.com/weekday/weekday-san-juan-t-shirt/prd/12847448?clr=green&colourWayId=16419049&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Weekday San Juan T-shirt,12.0,https://www.asos.com/weekday/weekday-san-juan-t-shirt/prd/12847448?clr=green&colourWayId=16419049&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Weekday Elof shirt in bahamas print,35.0,https://www.asos.com/weekday/weekday-elof-shirt-in-bahamas-print/prd/12846961?clr=black&colourWayId=16418978&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Weekday Elof shirt in bahamas print,35.0,https://www.asos.com/weekday/weekday-elof-shirt-in-bahamas-print/prd/12846961?clr=black&colourWayId=16418978&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Light grey marl,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813002.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Black,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813001.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,White,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813003.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Dark green,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813005.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Pink,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813004.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Burgundy,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813007.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Beige,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813006.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,19.99,Dark blue/NASA,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0679494003.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,19.99,Dark blue/White/Red,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0679494004.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,8.99,Red,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813008.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,9.99,Dark blue/Los Angeles,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0686266005.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,9.99,White/Dark blue striped,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0686266004.html
0,Weekday Paris sweatshirt in yellow,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-yellow/prd/12846958?clr=yellow&colourWayId=16419009&SearchQuery=&cid=27110,Sweatshirt,9.99,Grey/Leopard print,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0686266006.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Light grey marl,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813002.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Black,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813001.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,White,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813003.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Dark green,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813005.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Pink,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813004.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Burgundy,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813007.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Beige,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813006.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,19.99,Dark blue/NASA,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0679494003.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,19.99,Dark blue/White/Red,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0679494004.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,8.99,Red,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0685813008.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,9.99,Dark blue/Los Angeles,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0686266005.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,9.99,White/Dark blue striped,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0686266004.html
0,Weekday Paris sweatshirt in orange,25.0,https://www.asos.com/weekday/weekday-paris-sweatshirt-in-orange/prd/12846833?clr=orange&colourWayId=16419057&SearchQuery=&cid=27110,Sweatshirt,9.99,Grey/Leopard print,men_hoodiessweatshirts_sweatshirts,https://www2.hm.com/en_gb/productpage.0686266006.html
0,Weekday Pictor toaboa t-shirt,12.0,https://www.asos.com/weekday/weekday-pictor-toaboa-t-shirt/prd/12846714?clr=white&colourWayId=16419058&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Weekday Pictor toaboa t-shirt,12.0,https://www.asos.com/weekday/weekday-pictor-toaboa-t-shirt/prd/12846714?clr=white&colourWayId=16419058&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,Weekday Louie striped shirt in yellow,35.0,https://www.asos.com/weekday/weekday-louie-striped-shirt-in-yellow/prd/12843348?clr=white&colourWayId=16418988&SearchQuery=&cid=27110,Striped T-shirt,6.99,Dark blue marl/Red striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0585806009.html
0,Weekday Louie striped shirt in yellow,35.0,https://www.asos.com/weekday/weekday-louie-striped-shirt-in-yellow/prd/12843348?clr=white&colourWayId=16418988&SearchQuery=&cid=27110,Striped T-shirt,8.99,Black/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0614460008.html
0,Weekday Louie striped shirt in yellow,35.0,https://www.asos.com/weekday/weekday-louie-striped-shirt-in-yellow/prd/12843348?clr=white&colourWayId=16418988&SearchQuery=&cid=27110,Striped T-shirt,8.99,White/Multicoloured,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0599773015.html
0,Weekday Louie striped shirt in yellow,35.0,https://www.asos.com/weekday/weekday-louie-striped-shirt-in-yellow/prd/12843348?clr=white&colourWayId=16418988&SearchQuery=&cid=27110,Striped T-shirt,6.99,Grey marl/Green striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0585806007.html
0,Weekday Louie striped shirt in yellow,35.0,https://www.asos.com/weekday/weekday-louie-striped-shirt-in-yellow/prd/12843348?clr=white&colourWayId=16418988&SearchQuery=&cid=27110,Striped T-shirt,6.99,Dark grey marl/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0585806008.html
0,Weekday Louie striped shirt in yellow,35.0,https://www.asos.com/weekday/weekday-louie-striped-shirt-in-yellow/prd/12843348?clr=white&colourWayId=16418988&SearchQuery=&cid=27110,Striped T-shirt,8.99,Dark turquoise/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0614460011.html
0,Weekday Henning oxford shirt in blue,35.0,https://www.asos.com/weekday/weekday-henning-oxford-shirt-in-blue/prd/12842165?clr=blue&colourWayId=16418977&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,Weekday Henning oxford shirt in blue,35.0,https://www.asos.com/weekday/weekday-henning-oxford-shirt-in-blue/prd/12842165?clr=blue&colourWayId=16418977&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,River Island short sleeved shirt with embroidered badge in ecru,30.0,https://www.asos.com/river-island/river-island-short-sleeved-shirt-with-embroidered-badge-in-ecru/prd/12836445?clr=ecru&colourWayId=16418518&SearchQuery=&cid=27110,Short-sleeved shirt,14.99,Brown,men_shirts_shortsleeved,https://www2.hm.com/en_gb/productpage.0780149002.html
0,River Island short sleeved shirt with embroidered badge in ecru,30.0,https://www.asos.com/river-island/river-island-short-sleeved-shirt-with-embroidered-badge-in-ecru/prd/12836445?clr=ecru&colourWayId=16418518&SearchQuery=&cid=27110,Short-sleeved shirt,14.99,Light beige,men_shirts_shortsleeved,https://www2.hm.com/en_gb/productpage.0780149003.html
0,River Island short sleeved shirt with embroidered badge in ecru,30.0,https://www.asos.com/river-island/river-island-short-sleeved-shirt-with-embroidered-badge-in-ecru/prd/12836445?clr=ecru&colourWayId=16418518&SearchQuery=&cid=27110,Short-sleeved shirt,14.99,Dark blue,men_shirts_shortsleeved,https://www2.hm.com/en_gb/productpage.0780149001.html
0,River Island textured polo in khaki,22.0,https://www.asos.com/river-island/river-island-textured-polo-in-khaki/prd/12835110?clr=grey&colourWayId=16418509&SearchQuery=&cid=27110,Textured-knit jumper,24.99,Black,men_cardigansjumpers_jumpers,https://www2.hm.com/en_gb/productpage.0587026012.html
0,River Island textured polo in khaki,22.0,https://www.asos.com/river-island/river-island-textured-polo-in-khaki/prd/12835110?clr=grey&colourWayId=16418509&SearchQuery=&cid=27110,Textured-knit jumper,24.99,Dark grey marl,men_cardigansjumpers_jumpers,https://www2.hm.com/en_gb/productpage.0656059007.html
0,River Island textured polo in khaki,22.0,https://www.asos.com/river-island/river-island-textured-polo-in-khaki/prd/12835110?clr=grey&colourWayId=16418509&SearchQuery=&cid=27110,Textured-knit jumper,24.99,Dark green marl,men_cardigansjumpers_jumpers,https://www2.hm.com/en_gb/productpage.0587026014.html
0,River Island textured polo in khaki,22.0,https://www.asos.com/river-island/river-island-textured-polo-in-khaki/prd/12835110?clr=grey&colourWayId=16418509&SearchQuery=&cid=27110,Textured-knit jumper,24.99,Plum,men_cardigansjumpers_jumpers,https://www2.hm.com/en_gb/productpage.0656059006.html
0,River Island textured polo in khaki,22.0,https://www.asos.com/river-island/river-island-textured-polo-in-khaki/prd/12835110?clr=grey&colourWayId=16418509&SearchQuery=&cid=27110,Textured-knit jumper,24.99,Dark blue,men_cardigansjumpers_jumpers,https://www2.hm.com/en_gb/productpage.0656059005.html
0,River Island knitted T-shirt in mint,15.0,https://www.asos.com/river-island/river-island-knitted-t-shirt-in-mint/prd/12834880?clr=mint&colourWayId=16418501&SearchQuery=&cid=27110,T-shirt,9.99,White/Black striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983004.html
0,River Island knitted T-shirt in mint,15.0,https://www.asos.com/river-island/river-island-knitted-t-shirt-in-mint/prd/12834880?clr=mint&colourWayId=16418501&SearchQuery=&cid=27110,T-shirt,9.99,Orange/White striped,men_tshirtstanks_shortsleeve,https://www2.hm.com/en_gb/productpage.0670983005.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Dark blue,men_trousers_dressed,https://www2.hm.com/en_gb/productpage.0714032001.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,17.99,Beige/Checked,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0783217001.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Black,men_trousers_dressed,https://www2.hm.com/en_gb/productpage.0714032002.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,17.99,Dark blue,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0783217004.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,17.99,Dark blue marl,men_trousers_trousers_skinny_all,https://www2.hm.com/en_gb/productpage.0739239004.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,17.99,Black,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0783217003.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Light grey marl,men_trousers_dressed,https://www2.hm.com/en_gb/productpage.0714032003.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Light grey,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0715135004.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Dark blue,men_trousers_dressed,https://www2.hm.com/en_gb/productpage.0715404001.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Dark blue,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0715135002.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Dark blue,men_trousers_dressed,https://www2.hm.com/en_gb/productpage.0749159002.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,34.99,Light pink,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0612509008.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Black/White checked,men_trousers_trousers_skinny_all,https://www2.hm.com/en_gb/productpage.0656749010.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Blue marl,men_trousers_dressed,https://www2.hm.com/en_gb/productpage.0714032007.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Beige/Checked,men_trousers_trousers_skinny_all,https://www2.hm.com/en_gb/productpage.0656749008.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,39.99,Black,men_trousers_trousers_skinny_all,https://www2.hm.com/en_gb/productpage.0715418001.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,24.99,Beige,men_blazerssuits_trousers,https://www2.hm.com/en_gb/productpage.0688930001.html
0,River Island skinny suit trousers in neon pink,40.0,https://www.asos.com/river-island/river-island-skinny-suit-trousers-in-neon-pink/prd/12833665?clr=neon-pink&colourWayId=16418480&SearchQuery=&cid=27110,Suit trousers Skinny Fit,17.99,Black,men_trousers_trousers_skinny_all,https://www2.hm.com/en_gb/productpage.0739239001.html
